zipcode,Station_Name,Corner,Latitude,Longitude
10017,Lexington Av-53rd St,NE,40.757784,-73.971098
10017,Lexington Av-53rd St,NE,40.757804,-73.971141
10017,51st St,NW,40.756686,-73.97251
10017,51st St,SE,40.756999,-73.971803
10017,51st St,NE,40.757126,-73.971721
10017,51st St,SE,40.756964,-73.971712
10017,51st St,NE,40.757059,-73.97157
10017,Grand Central-42nd St,SE,40.751741,-73.977691
10017,Grand Central-42nd St,SE,40.751653,-73.977753
10017,Grand Central-42nd St,SW,40.751352,-73.976396
10017,Grand Central-42nd St,SE,40.751647,-73.977382
10017,Grand Central-42nd St,SW,40.750851,-73.975078
10017,Grand Central,NE,40.75283,-73.978917
10017,Grand Central,SE,40.752218,-73.978396
10017,Grand Central,SE,40.752279,-73.97828
10017,Grand Central,NW,40.752717,-73.978487
10017,Grand Central,SW,40.752184,-73.978048
10017,Grand Central,SW,40.752846,-73.979798
10017,Grand Central,NW,40.753087,-73.979537
10017,Grand Central-42nd St,SE,40.751721,-73.977197
10017,Lexington Av-53rd St,SE,40.757475,-73.969255
10017,Lexington Av-53rd St,NE,40.757718,-73.969161
10017,Lexington Av-53rd St,NE,40.757685,-73.969125
10017,Grand Central-42nd St,SE,40.751801,-73.975294
10017,Grand Central-42nd St,NE,40.751345,-73.975409
10017,Grand Central-42nd St,NW,40.751701,-73.976087
zipcode,Station_Name,Corner,Latitude,Longitude
10075,77th St,SW,40.773669,-73.960135
10075,77th St,NW,40.773779,-73.959954
10075,77th St,NW,40.773779,-73.960041
10075,77th St,SW,40.773636,-73.96006
10075,77th St,SE,40.773526,-73.959734
10075,77th St,NE,40.773631,-73.959659
10075,77th St,SE,40.773493,-73.959659
10075,77th St,NE,40.773603,-73.959578
zipcode,Station_Name,Corner,Latitude,Longitude
10026,116th St,SW,40.804312,-73.955643
10026,116th St,NW,40.804639,-73.955559
10026,Cathedral Parkway-110th St,SW,40.800002,-73.958882
10026,Cathedral Parkway-110th St,NE,40.800002,-73.958448
10026,116th St,SW,40.801945,-73.949943
10026,116th St,NW,40.802229,-73.949734
10026,110th St-Central Park North,NW,40.798497,-73.952672
10026,116th St,NE,40.804428,-73.955024
10026,116th St,SE,40.804172,-73.955131
10026,Cathedral Parkway-110th St,SW,40.800866,-73.958405
10026,116th St,SE,40.801822,-73.949651
10026,116th St,NE,40.802111,-73.949437
10026,110th St-Central Park North,NW,40.799033,-73.952058
zipcode,Station_Name,Corner,Latitude,Longitude
10024,103rd St,NW,40.796263,-73.96161
10024,96th St,SW,40.791642,-73.965009
10024,86th St,SW,40.785195,-73.969596
10024,86th St,SW,40.785282,-73.969662
10024,86th St,NW,40.78548,-73.969458
10024,81st St - Museum of Natural History,SW,40.781976,-73.972027
10024,81st St - Museum of Natural History,NW,40.782254,-73.971741
10024,116th St-Columbia University,NW,40.808251,-73.963955
10024,116th St-Columbia University,NE,40.808099,-73.963603
10024,116th St-Columbia University,NW,40.8084,-73.963845
10024,116th St-Columbia University,NE,40.808245,-73.963495
10024,Cathedral Parkway-110th St,NW,40.80439,-73.966786
10024,103rd St,NW,40.799282,-73.968679
10024,103rd St,NE,40.799142,-73.968314
10024,103rd St,NW,40.79941,-73.968612
10024,103rd St,NE,40.799223,-73.968271
10024,86th St,SW,40.788349,-73.976935
10024,86th St,NW,40.788515,-73.976718
10024,79th St,NW,40.784066,-73.980051
10024,79th St,SW,40.783765,-73.980274
10024,72nd St,NE,40.779146,-73.981822
10024,72nd St,NE,40.778875,-73.981877
10024,96th St,SW,40.792285,-73.964423
10024,96th St,NW,40.792591,-73.964316
10024,86th St,NW,40.786769,-73.968448
10024,86th St,NW,40.786115,-73.969011
10024,81st St - Museum of Natural History,NW,40.780895,-73.972918
10024,81st St - Museum of Natural History,NW,40.780319,-73.973179
10024,116th St-Columbia University,SE,40.807535,-73.964013
10024,Cathedral Parkway-110th St,SE,40.803926,-73.966647
10024,Cathedral Parkway-110th St,NE,40.804257,-73.966422
10024,96th St,N,40.794329,-73.972042
10024,86th St,SE,40.788073,-73.976288
10024,86th St,NE,40.788272,-73.976083
10024,79th St,SE,40.78362,-73.97991
10024,79th St,NE,40.783985,-73.979662
10024,103rd St,SE,40.799584,-73.968091
10024,96th St,SW,40.79307,-73.973174
10024,96th St,SE,40.792923,-73.972824
10024,96th St,SW,40.793209,-73.973074
10024,96th St,SE,40.793065,-73.972722
10024,86th St,NE,40.78902,-73.97633
10024,96th St,N,40.794611,-73.972053
zipcode,Station_Name,Corner,Latitude,Longitude
10037,135th St,SW,40.814024,-73.941117
10037,135th St,NW,40.814316,-73.94091
10037,135th St,SE,40.813896,-73.940831
10037,135th St,NE,40.814188,-73.940618
zipcode,Station_Name,Corner,Latitude,Longitude
10018,49th St,SW,40.760486,-73.983974
10018,49th St,NW,40.760621,-73.983904
10018,50th St,NW,40.761968,-73.986662
10018,50th St,NW,40.761968,-73.986662
10018,50th St,SW,40.761741,-73.986924
10018,50th St,SW,40.761691,-73.986805
10018,42nd St,NE,40.757286,-73.989582
10018,42nd St,SW,40.755989,-73.991049
10018,42nd St,SE,40.755801,-73.990576
10018,42nd St,NW,40.756101,-73.990887
10018,34th St,SE,40.75202,-73.993352
10018,34th St,NE,40.752161,-73.993109
10018,42nd St,SW,40.754849,-73.984627
10018,42nd St,SE,40.754609,-73.983894
10018,34th St,,40.749615,-73.988159
10018,34th St,SW,40.749845,-73.988254
10018,34th St,NW,40.750088,-73.988142
10018,50th St,SE,40.761111,-73.983436
10018,50th St,SE,40.761282,-73.983853
10018,50th St,NE,40.761212,-73.983357
10018,50th St,NE,40.761367,-73.983782
10018,Times Square,NW,40.756241,-73.987133
10018,Times Square,SW,40.756042,-73.987242
10018,34th St,SW,40.751046,-73.991271
10018,49th St,NE,40.760454,-73.983388
10018,49th St,SE,40.75903,-73.984412
10018,49th St,NE,40.759513,-73.984884
10018,49th St,NW,40.759384,-73.984709
10018,49th St,SE,40.760297,-73.983567
10018,Times Square-42nd St,SE,40.754172,-73.98668
10018,Times Square-42nd St,SW,40.754335,-73.987097
10018,Times Square-42nd St,NE,40.754301,-73.986623
10018,Times Square-42nd St,NW,40.754507,-73.987108
10018,34th St,SE,40.74959,-73.98762
10018,34th St,NE,40.749891,-73.987495
10018,50th St,SE,40.762085,-73.985829
10018,42nd St,SW,40.758567,-73.989053
10018,42nd St,SE,40.758401,-73.988673
10018,42nd St,NW,40.758685,-73.98899
10018,34th St,SE,40.752689,-73.992742
10018,34th St,NE,40.752796,-73.992669
10018,34th St,NE,40.752766,-73.992596
10018,34th St,SW,40.752877,-73.993244
10018,34th St,NW,40.753053,-73.993256
10018,34th St,NW,40.753032,-73.993188
10018,34th St,SW,40.752178,-73.993701
10018,34th St,NW,40.752427,-73.993679
10018,47-50th Sts Rockefeller Center,SW,40.758024,-73.982079
10018,42nd St,NW,40.753709,-73.985084
10018,42nd St,NW,40.755333,-73.983934
10018,42nd St,NW,40.755008,-73.984249
10018,42nd St,NE,40.754832,-73.983657
10018,42nd St,SW,40.753473,-73.985259
10018,42nd St,SE,40.753408,-73.984892
10018,42nd St,NE,40.753546,-73.984779
10018,34th St,SW,40.750674,-73.988031
10018,34th St,SE,40.750271,-73.987066
10018,34th St,NW,40.75088,-73.988096
10018,34th St,NW,40.750647,-73.987346
10018,34th St,NE,40.750404,-73.986989
10018,50th St,SW,40.761432,-73.98437
10018,50th St,NW,40.761561,-73.984154
10018,Times Square,SW,40.754691,-73.988067
10018,Times Square,SE,40.754568,-73.987827
10018,Times Square,NW,40.755554,-73.987679
10018,Times Square,SE,40.755575,-73.986311
10018,34th St,NE,40.749656,-73.99113
10018,34th St,SE,40.750077,-73.99082
10018,34th St,NE,40.750283,-73.99065
10018,34th St,NE,40.750313,-73.990854
10018,34th St,NW,40.750476,-73.991254
10018,34th St,SW,40.750982,-73.990899
10018,34th St,NW,40.751187,-73.990791
10018,Times Square,SW,40.756476,-73.986311
10018,42nd St,SW,40.757929,-73.989547
10018,42nd St,NW,40.757463,-73.989984
10018,5th Av,S,40.754175,-73.982871
10018,5th Av,S,40.754213,-73.982984
10018,34th St,SE,40.751291,-73.993887
10018,34th St,NE,40.751432,-73.993538
10018,34th St,NW,40.751677,-73.994107
10018,34th St,SW,40.751561,-73.994243
10018,34th St,SW,40.751539,-73.994181
10018,Times Square,SE,40.755747,-73.986875
10018,Times Square,SE,40.755248,-73.987362
10018,Times Square,SE,40.755334,-73.9872
10018,34th St,W,40.74979,-73.991721
10018,34th St,SE,40.75081,-73.990481
10018,34th St,NE,40.75102,-73.990323
zipcode,Station_Name,Corner,Latitude,Longitude
10034,Inwood - 207th St,NW,40.867892,-73.921234
10034,Inwood - 207th St,SW,40.867799,-73.921431
10034,Inwood - 207th St,SE,40.867512,-73.92133
10034,Inwood - 207th St,SW,40.867653,-73.920949
10034,Dyckman St-200th St,NW,40.865758,-73.927266
10034,Dyckman St-200th St,NW,40.865744,-73.927172
10034,Dyckman St-200th St,SW,40.865362,-73.928059
10034,190th St,NW,40.858899,-73.932702
10034,190th St,SE,40.858886,-73.934226
10034,181st St,SE,40.852759,-73.936636
10034,181st St,SE,40.850752,-73.93813
10034,215th St,SW,40.869412,-73.915455
10034,215th St,NW,40.869793,-73.91517
10034,207th St,NW,40.864745,-73.918864
10034,207th St,SW,40.864283,-73.919222
10034,Dyckman St,SW,40.861183,-73.92511
10034,Dyckman St,SW,40.861187,-73.925078
10034,191st St,SW,40.855374,-73.929536
10034,191st St,NE,40.856413,-73.932605
10034,Inwood - 207th St,NW,40.868284,-73.919607
10034,Inwood - 207th St,NE,40.868036,-73.919284
10034,Dyckman St-200th St,SE,40.865296,-73.927411
10034,Dyckman St-200th St,SE,40.865248,-73.927279
10034,Dyckman St-200th St,NE,40.865342,-73.926964
10034,Dyckman St-200th St,NE,40.865446,-73.927035
10034,181st St,SW,40.850778,-73.938472
10034,181st St,SE,40.850717,-73.938214
10034,181st St,SW,40.85087,-73.938537
10034,215th St,SE,40.869315,-73.915216
10034,207th St,SE,40.86423,-73.918951
10034,215th St,NE,40.869729,-73.914954
10034,207th St,NE,40.864599,-73.918681
zipcode,Station_Name,Corner,Latitude,Longitude
10036,57th St,SW,40.765365,-73.980341
10036,57th St,SE,40.765298,-73.980033
10036,49th St,SW,40.760486,-73.983974
10036,49th St,NW,40.760621,-73.983904
10036,50th St,NW,40.761968,-73.986662
10036,50th St,SW,40.762312,-73.986378
10036,50th St,NW,40.762452,-73.986299
10036,50th St,NW,40.761968,-73.986662
10036,50th St,SW,40.762312,-73.986378
10036,50th St,SW,40.761741,-73.986924
10036,50th St,SW,40.761691,-73.986805
10036,42nd St,NE,40.757286,-73.989582
10036,42nd St,SW,40.755989,-73.991049
10036,42nd St,SE,40.755801,-73.990576
10036,42nd St,NW,40.756101,-73.990887
10036,47-50th Sts Rockefeller Center,NW,40.759434,-73.981001
10036,47-50th Sts Rockefeller Center,SW,40.759896,-73.980706
10036,47-50th Sts Rockefeller Center,SW,40.760502,-73.980218
10036,47-50th Sts Rockefeller Center,NE,40.759953,-73.980117
10036,47-50th Sts Rockefeller Center,NW,40.760125,-73.980499
10036,47-50th Sts Rockefeller Center,NE,40.759301,-73.980594
10036,47-50th Sts Rockefeller Center,NW,40.759414,-73.981035
10036,47-50th Sts Rockefeller Center,SE,40.758996,-73.980788
10036,42nd St,SW,40.754849,-73.984627
